customer_id,total_product_A,total_product_B,total_purchases
C000303,2,0,1
C000304,0,12,2
C000305,0,14,3
C000306,12,12,4
C000307,0,1,1
C000308,10,11,5
C000309,8,29,6
C000310,5,0,2
C000311,7,21,5
C000312,7,10,5
C000313,6,0,2
C000314,11,13,6
C000315,15,14,6
C000316,0,3,1
C000317,0,3,1
C000318,6,0,2
C000319,12,0,2
C000320,10,16,5
C000321,3,9,3
C000322,7,7,2
C000323,6,3,3
C000324,7,1,2
C000325,7,18,4
C000326,1,13,6
C000327,10,0,2
C000328,15,5,5
C000329,0,8,2
C000330,11,20,5
C000331,8,21,5
C000332,12,7,3
C000333,0,8,2
C000334,0,11,2
C000335,8,9,5
C000336,11,16,6
C000337,0,8,1
C000338,2,12,3
C000339,21,2,6
C000340,0,13,3
C000341,6,0,2
C000342,3,10,3
C000343,4,15,6
C000344,4,20,5
C000345,4,10,5
C000346,15,0,3
C000347,8,20,6
C000348,3,27,6
C000349,17,14,6
C000350,19,0,4
C000351,22,10,6
C000352,0,13,2
C000353,5,1,2
C000354,2,0,1
C000355,14,0,3
C000356,0,26,5
C000357,3,8,4
C000358,10,6,4
C000359,12,8,5
C000360,8,5,3
C000361,2,0,1
C000362,1,3,2
C000363,0,14,4
C000364,19,3,4
C000365,5,0,1
C000366,19,0,4
C000367,0,9,2
C000368,0,3,1
C000369,1,11,3
C000370,8,2,2
C000371,3,5,2
C000372,5,16,6
C000373,0,5,1
C000374,0,11,2
C000375,18,7,5
C000376,10,9,6
C000377,8,20,6
C000378,9,0,2
C000379,3,7,3
C000380,0,7,1
C000381,0,11,2
C000382,6,11,3
C000383,0,5,2
C000384,0,15,3
C000385,0,5,1
C000386,8,14,4
C000387,2,18,6
C000388,1,0,1
C000389,2,8,2
C000390,0,8,1
C000391,7,0,1
C000392,0,12,2
C000393,8,11,4
C000394,1,14,4
C000395,16,4,4
C000396,15,12,6
C000397,13,10,4
C000398,7,11,4
C000399,8,15,5
C000400,13,1,4
C000401,16,8,5
C000402,17,0,4
C000403,14,13,6
C000404,16,10,5
C000405,14,6,5
C000406,0,2,1
C000407,3,8,3
C000408,6,0,1
C000409,0,19,4
C000410,15,4,6
C000411,0,11,2
C000412,1,11,3
C000413,6,0,2
C000414,6,14,6
C000415,0,4,2
C000416,1,7,4
C000417,6,9,3
C000418,9,0,2
C000419,0,2,1
C000420,19,0,4
C000421,16,0,2
C000422,0,17,4
C000423,6,6,2
C000424,14,17,5
C000425,9,7,5
C000426,9,9,5
C000427,13,3,5
C000428,15,3,4
C000429,4,1,2
C000430,0,8,1
C000431,8,0,1
C000432,7,0,1
C000433,9,4,4
C000434,16,5,4
C000435,8,6,5
C000436,0,1,1
C000437,7,13,3
C000438,11,12,5
C000439,19,14,6
C000440,8,26,6
C000441,10,9,4
C000442,2,8,2
C000443,6,0,1
C000444,16,12,6
C000445,9,8,6
C000446,6,18,5
C000447,0,4,1
C000448,7,0,1
C000449,7,11,4
C000450,6,0,1
C000451,9,11,4
C000452,10,0,2
C000453,10,8,3
C000454,0,9,2
C000455,7,12,5
C000456,2,0,1
C000457,7,4,3
C000458,17,6,4
C000459,14,8,6
C000460,17,11,6
C000461,19,10,5
C000462,9,14,6
C000463,9,5,5
C000464,7,15,4
C000465,5,5,3
C000466,22,5,5
C000467,0,9,2
C000468,6,7,2
C000469,7,8,3
C000470,8,17,6
C000471,6,3,2
C000472,10,13,6
C000473,4,7,5
C000474,7,18,5
C000475,8,7,2
C000476,16,15,5
C000477,4,0,1
C000478,5,22,5
C000479,6,0,1
C000480,13,6,5
C000481,0,15,3
C000482,3,0,1
C000483,7,1,2
C000484,16,5,6
C000485,1,0,1
C000486,1,17,5
C000487,8,7,2
C000488,0,3,1
C000489,3,8,4
C000490,22,11,6
C000491,3,10,3
C000492,10,0,2
C000493,5,6,2
C000494,12,0,3
C000495,1,5,2
C000496,15,7,3
C000497,0,7,1
C000498,0,7,1
C000499,6,6,3
C000500,11,1,4
C000501,7,0,1
C000502,0,4,1
C000503,8,1,2
C000504,8,8,4
C000505,15,10,6
C000506,18,10,5
C000507,17,16,5
C000508,16,0,3
C000509,0,11,2
C000510,3,6,2
C000511,19,12,5
C000512,1,8,3
C000513,8,0,2
C000514,21,8,5
C000515,0,5,2
C000516,6,22,6
C000517,3,22,6
C000518,12,0,2
C000519,0,6,1
C000520,3,0,1
C000521,6,2,3
C000522,2,13,4
C000523,12,0,2
C000524,19,7,5
C000525,4,13,4
C000526,7,13,3
C000527,0,8,1
C000528,0,13,3
C000529,9,13,5
C000530,4,19,6
C000531,0,2,1
C000532,4,0,1
C000533,19,8,5
C000534,3,1,2
C000535,20,10,6
C000536,8,13,4
C000537,1,5,2
C000538,8,23,5
C000539,8,16,5
C000540,13,11,6
C000541,0,16,3
C000542,5,4,2
C000543,9,7,6
C000544,16,18,6
C000545,7,2,3
C000546,19,6,5
C000547,2,16,4
C000548,17,7,5
C000549,7,0,1
C000550,4,19,6
C000551,19,7,4
C000552,0,4,1
C000553,0,20,4
C000554,15,7,6
C000555,16,7,5
C000556,11,17,6
C000557,1,5,3
C000558,14,8,6
C000559,9,9,5
C000560,0,4,1
C000561,5,4,2
C000562,15,15,6
C000563,0,14,3
C000564,27,4,6
C000565,6,7,3
C000566,22,1,6
C000567,6,12,3
C000568,10,0,3
C000569,16,8,3
C000570,15,11,4
C000571,0,13,3
C000572,16,7,6
C000573,9,13,4
C000574,12,0,2
C000575,0,8,1
C000576,0,19,4
C000577,4,11,3
C000578,1,0,1
C000579,20,1,5
C000580,1,25,5
C000581,15,2,4
C000582,14,8,4
C000583,5,4,3
C000584,17,7,4
C000585,13,12,6
C000586,9,9,4
C000587,18,10,6
C000588,4,10,3
C000589,9,13,4
C000590,4,13,3
C000591,14,1,6
C000592,13,8,6
C000593,3,3,3
C000594,12,14,5
C000595,12,3,3
C000596,13,1,3
C000597,6,1,3
C000598,0,1,1
C000599,11,8,3
C000600,7,5,2
C000601,10,16,5
C000602,18,3,4
C000603,0,7,1
C000604,7,10,6
C000605,2,5,2
C000606,8,9,3
C000607,0,1,1
C000608,17,6,4
C000609,13,16,5
C000610,0,8,1
C000611,0,21,4
C000612,14,11,6
C000613,8,17,6
C000614,18,13,5
C000615,5,3,2
C000616,15,0,2
C000617,9,6,4
C000618,15,6,5
C000619,12,0,3
C000620,0,4,1
C000621,7,4,4
C000622,8,0,2
C000623,25,9,6
C000624,12,6,5
C000625,0,12,2
C000626,4,8,4
C000627,11,0,2
C000628,0,7,1
C000629,6,1,2
C000630,5,10,4
C000631,19,13,5
C000632,0,12,3
C000633,0,10,2
C000634,25,3,6
C000635,2,8,3
C000636,22,0,4
C000637,0,13,4
C000638,10,0,2
C000639,0,4,1
C000640,8,14,6
C000641,8,3,2
C000642,0,11,3
C000643,3,17,5
C000644,13,5,6
C000645,0,1,1
C000646,4,13,3
C000647,0,8,1
C000648,13,20,6
C000649,11,0,2
C000650,11,15,5
C000651,6,10,3
C000652,1,0,1
C000653,1,3,2
C000654,6,11,3
C000655,12,1,3
C000656,17,6,5
C000657,5,24,5
C000658,23,9,6
C000659,6,8,2
C000660,5,4,4
C000661,10,4,3
C000662,29,0,4
C000663,0,6,3
C000664,5,15,6
C000665,0,7,2
C000666,2,14,4
C000667,4,3,2
C000668,4,18,4
C000669,3,15,4
C000670,15,15,6
C000671,20,7,6
C000672,12,7,5
C000673,0,3,2
C000674,0,7,1
C000675,9,0,2
C000676,9,0,3
C000677,6,0,1
C000678,17,5,5
C000679,14,7,3
C000680,6,0,2
C000681,2,4,2
C000682,14,0,3
C000683,2,10,3
C000684,7,8,4
C000685,12,16,6
C000686,4,18,5
C000687,7,3,3
C000688,6,0,1
C000689,22,10,6
C000690,12,11,6
C000691,4,5,2
C000692,28,5,6
C000693,8,29,6
C000694,10,15,5
C000695,2,22,6
C000696,0,9,2
C000697,17,4,4
C000698,0,5,1
C000699,10,12,4
C000700,0,31,6
C000701,2,12,3
C000702,2,4,4
C000703,11,19,5
C000704,5,12,5
C000705,8,18,5
C000706,1,8,2
C000707,8,13,4
C000708,6,0,1
C000709,11,12,6
C000710,0,21,4
C000711,4,19,5
C000712,12,0,2
C000713,0,4,1
C000714,7,0,2
C000715,7,0,2
C000716,6,5,2
C000717,5,10,3
C000718,0,7,1
C000719,0,3,1
C000720,2,22,5
C000721,21,7,4
C000722,16,11,6
C000723,5,2,2
C000724,11,9,5
C000725,0,7,1
C000726,20,9,6
C000727,3,4,4
C000728,7,8,3
C000729,0,4,1
C000730,8,11,3
C000731,0,3,1
C000732,1,24,5
C000733,7,9,4
C000734,4,0,1
C000735,7,7,5
C000736,21,0,5
C000737,0,5,2
C000738,0,5,2
C000739,1,5,2
C000740,14,0,2
C000741,7,15,4
C000742,9,2,3
C000743,20,0,4
C000744,5,25,6
C000745,9,18,6
C000746,1,2,2
C000747,18,1,6
C000748,10,6,5
C000749,6,0,1
C000750,5,15,4
C000751,7,13,4
C000752,12,6,4
C000753,8,2,3
C000754,9,7,4
C000755,13,9,5
C000756,18,2,5
C000757,31,8,6
C000758,0,28,5
C000759,15,2,4
C000760,6,0,1
C000761,5,0,2
C000762,26,0,6
C000763,0,5,1
C000764,21,5,6
C000765,17,10,5
C000766,6,1,2
C000767,5,0,1
C000768,7,4,2
C000769,7,7,2
C000770,23,13,6
C000771,7,10,4
C000772,8,4,3
C000773,0,12,2
C000774,7,2,2
C000775,7,14,6
C000776,7,1,2
C000777,8,7,2
C000778,12,8,3
C000779,26,2,5
C000780,19,9,6
C000781,4,0,1
C000782,9,4,3
C000783,14,7,5
C000784,10,7,4
C000785,0,3,1
C000786,11,0,2
C000787,7,0,1
C000788,0,5,1
C000789,1,18,4
C000790,16,11,5
C000791,0,20,3
C000792,0,6,1
C000793,17,5,5
C000794,0,9,2
C000795,5,5,2
C000796,11,19,5
C000797,4,0,1
C000798,3,6,3
C000799,5,8,4
C000800,0,2,1
C000801,16,4,4
C000802,7,4,4
C000803,18,6,6
C000804,10,6,3
C000805,6,7,4
C000806,20,5,4
C000807,4,8,2
C000808,12,9,6
C000809,1,5,2
C000810,12,7,4
C000811,4,0,1
C000812,13,2,3
C000813,19,4,5
C000814,8,11,3
C000815,11,6,4
C000816,9,12,5
C000817,0,11,3
C000818,14,8,5
C000819,5,0,2
C000820,0,16,2
C000821,9,9,4
C000822,20,12,6
C000823,10,11,5
C000824,1,0,1
C000825,18,7,6
C000826,0,9,2
C000827,6,2,2
C000828,25,3,6
C000829,9,4,3
C000830,1,16,4
C000831,10,8,6
C000832,1,21,6
C000833,15,7,4
C000834,19,6,6
C000835,5,0,2
C000836,14,8,3
C000837,16,6,6
C000838,5,6,2
C000839,6,3,3
C000840,7,0,1
C000841,0,4,1
C000842,0,1,1
C000843,0,13,2
C000844,8,0,1
C000845,4,0,1
C000846,8,5,5
C000847,16,4,5
C000848,2,13,4
C000849,7,11,6
C000850,23,19,6
C000851,13,0,2
C000852,6,6,5
C000853,5,0,1
C000854,0,5,1
C000855,8,19,6
C000856,0,31,5
C000857,13,0,4
C000858,14,0,2
C000859,5,10,4
C000860,31,8,6
C000861,6,0,1
C000862,8,14,4
C000863,17,6,6
C000864,2,20,4
C000865,7,5,2
C000866,6,6,3
C000867,13,12,5
C000868,20,0,4
C000869,6,0,1
C000870,7,3,3
C000871,15,13,4
C000872,24,0,6
C000873,21,11,5
C000874,0,2,1
C000875,12,2,5
C000876,1,10,6
C000877,4,1,2
C000878,13,27,6
C000879,0,6,1
C000880,12,8,3
C000881,7,18,6
C000882,15,0,3
C000883,2,11,3
C000884,5,22,5
C000885,0,6,1
C000886,0,10,2
C000887,18,0,4
C000888,11,10,4
C000889,2,11,5
C000890,0,6,1
C000891,0,3,1
C000892,8,9,4
C000893,3,10,4
C000894,8,7,3
C000895,8,6,4
C000896,9,13,5
C000897,5,0,1
C000898,13,1,3
C000899,0,8,1
C000900,8,23,5
C000901,13,0,3
C000902,3,9,3
C000903,6,13,3
C000904,8,9,4
C000905,3,6,3
C000906,7,0,1
C000907,25,5,6
C000908,7,8,3
C000909,21,11,5
C000910,24,0,5
C000911,23,0,5
C000912,11,4,3
C000913,14,20,6
C000914,3,0,1
C000915,0,24,5
C000916,6,18,6
C000917,25,0,6
C000918,19,4,6
C000919,8,12,4
C000920,7,0,1
C000921,10,3,3
C000922,0,11,2
C000923,6,9,5
C000924,9,2,3
C000925,0,4,1
C000926,5,22,5
C000927,4,12,6
C000928,14,0,3
C000929,0,12,3
C000930,21,7,6
C000931,16,2,5
C000932,15,12,6
C000933,2,0,1
C000934,9,21,6
C000935,0,8,3
C000936,0,17,3
C000937,2,4,3
C000938,0,6,1
C000939,0,4,1
C000940,0,17,3
C000941,2,15,3
C000942,0,4,1
C000943,0,8,1
C000944,12,8,4
C000945,4,22,5
C000946,6,4,3
C000947,8,14,3
C000948,0,9,2
C000949,4,11,6
C000950,8,3,2
C000951,5,10,5
C000952,11,18,6
C000953,8,0,3
C000954,6,9,4
C000955,15,7,5
C000956,6,0,1
C000957,0,12,2
C000958,0,4,1
C000959,4,9,5
C000960,7,3,2
C000961,8,15,3
C000962,5,10,3
C000963,10,9,4
C000964,12,7,5
C000965,2,8,3
C000966,0,5,1
C000967,0,6,1
C000968,2,0,1
C000969,6,16,6
C000970,7,0,2
C000971,18,4,5
C000972,7,6,4
C000973,7,19,6
C000974,10,8,6
C000975,7,8,5
C000976,2,7,3
C000977,20,2,4
C000978,20,14,6
C000979,4,13,4
C000980,15,2,4
C000981,0,3,2
C000982,8,0,3
C000983,14,7,3
C000984,9,5,3
C000985,19,18,6
C000986,12,0,3
C000987,13,5,4
C000988,9,14,5
C000989,7,8,4
C000990,18,7,4
C000991,8,0,2
C000992,11,16,6
C000993,0,8,1
C000994,7,0,1
C000995,10,13,6
C000996,0,12,2
C000997,20,1,4
C000998,6,7,2
C000999,13,9,6
C001000,11,9,5
C001001,3,0,1
C001002,3,8,3
C001003,1,0,1
C001004,7,15,4
C001005,0,21,4
C001006,0,3,1
C001007,10,0,2
C001008,21,8,6
C001009,0,23,6
C001010,21,10,6
C001011,1,0,1
C001012,17,6,5
C001013,13,9,5
C001014,2,12,4
C001015,12,23,6
C001016,0,11,2
C001017,11,9,4
C001018,0,10,3
C001019,6,14,5
C001020,18,7,6
C001021,0,11,4
C001022,11,3,3
C001023,6,6,4
C001024,0,10,3
C001025,9,4,5
C001026,8,8,3
C001027,10,4,3
C001028,0,21,4
C001029,15,0,3
C001030,8,0,1
C001031,9,15,5
C001032,23,1,6
C001033,4,6,2
C001034,2,14,3
C001035,27,10,6
C001036,0,1,1
C001037,1,5,2
C001038,10,24,6
C001039,16,8,6
C001040,0,2,1
C001041,10,7,3
C001042,3,8,3
C001043,13,11,6
C001044,6,12,6
C001045,21,4,5
C001046,0,8,2
C001047,25,10,6
C001048,18,7,6
C001049,1,0,1
C001050,8,8,4
C001051,18,16,6
C001052,24,4,5
C001053,1,5,2
C001054,8,13,3
C001055,11,13,5
C001056,13,16,6
C001057,1,0,1
C001058,2,0,2
C001059,14,20,6
C001060,22,18,6
C001061,14,7,4
C001062,14,15,6
C001063,0,6,1
C001064,7,15,5
C001065,0,5,3
C001066,22,8,5
C001067,10,1,3
C001068,6,0,1
C001069,0,22,5
C001070,2,21,6
C001071,0,11,4
C001072,7,0,2
C001073,8,15,4
C001074,11,6,4
C001075,12,6,4
C001076,1,7,4
C001077,6,4,2
C001078,0,3,1
C001079,8,7,4
C001080,0,5,1
C001081,5,4,2
C001082,0,17,4
C001083,24,9,6
C001084,0,8,1
C001085,10,7,5
C001086,4,0,1
C001087,10,0,3
C001088,4,13,5
C001089,11,2,3
C001090,0,8,2
C001091,3,2,2
C001092,0,9,2
C001093,15,17,6
C001094,6,0,1
C001095,7,0,1
C001096,10,8,4
C001097,16,13,6
C001098,9,8,5
C001099,0,7,2
C001100,0,4,1
C001101,16,6,6
C001102,4,0,1
C001103,7,15,5
C001104,0,5,1
C001105,8,16,6
C001106,24,10,6
C001107,22,8,6
C001108,1,2,2
C001109,4,4,3
C001110,33,3,6
C001111,8,8,3
C001112,9,6,3
C001113,13,3,3
C001114,6,14,3
C001115,12,5,5
C001116,0,29,5
C001117,10,13,4
C001118,8,10,6
C001119,6,6,2
C001120,8,8,4
C001121,12,3,6
C001122,0,32,5
C001123,4,4,2
C001124,8,0,2
C001125,10,10,5
C001126,18,9,5
C001127,7,3,2
C001128,15,8,5
C001129,9,1,3
C001130,11,9,5
C001131,8,5,3
C001132,11,0,2
C001133,0,3,1
C001134,14,8,5
C001135,14,10,6
C001136,7,7,4
C001137,7,0,1
C001138,1,7,2
C001139,7,0,2
C001140,11,9,5
C001141,6,19,6
C001142,5,2,2
C001143,10,4,5
C001144,13,0,4
C001145,0,8,1
C001146,1,0,1
C001147,15,6,5
C001148,7,3,2
C001149,7,12,3
C001150,8,7,3
C001151,9,11,5
C001152,13,0,3
C001153,3,16,5
C001154,21,6,6
C001155,8,0,3
C001156,7,7,6
C001157,5,15,6
C001158,6,1,2
C001159,6,23,6
C001160,0,1,1
C001161,8,11,5
C001162,23,1,5
C001163,7,0,2
C001164,0,5,1
C001165,13,21,6
C001166,10,15,6
C001167,10,14,6
C001168,0,10,2
C001169,16,10,6
C001170,7,2,3
C001171,5,4,2
C001172,3,24,6
C001173,8,6,4
C001174,9,1,3
C001175,7,3,2
C001176,18,12,5
C001177,6,3,3
C001178,4,0,1
C001179,15,0,2
C001180,6,0,1
C001181,15,13,5
C001182,8,0,2
C001183,11,3,4
C001184,10,6,3
C001185,2,0,1
C001186,2,22,4
C001187,4,0,1
C001188,0,5,2
C001189,9,16,6
C001190,5,0,1
C001191,3,3,2
C001192,17,11,6
C001193,14,18,6
C001194,3,0,1
C001195,9,17,6
C001196,7,24,6
C001197,11,6,3
C001198,0,9,3
C001199,10,6,4
C001200,16,14,5
C001201,8,6,3
C001202,14,10,5
C001203,10,4,3
C001204,8,7,3
C001205,16,2,4
C001206,0,13,2
C001207,15,0,3
C001208,0,8,2
C001209,0,8,1
C001210,16,0,4
C001211,17,1,4
C001212,4,12,4
C001213,8,2,3
C001214,12,0,2
C001215,13,0,2
C001216,2,11,5
C001217,13,21,6
C001218,12,3,4
C001219,9,8,4
C001220,0,4,2
C001221,6,10,4
C001222,0,2,1
C001223,6,10,4
C001224,13,8,6
C001225,0,4,1
C001226,13,15,5
C001227,23,1,4
C001228,0,10,2
C001229,0,9,3
C001230,15,2,3
C001231,8,14,6
C001232,12,6,4
C001233,7,14,5
C001234,5,0,2
C001235,20,4,4
C001236,8,15,5
C001237,16,0,4
C001238,0,5,1
C001239,3,0,1
C001240,5,8,5
C001241,5,13,3
C001242,2,14,4
C001243,11,12,6
C001244,10,0,2
C001245,5,13,5
C001246,0,2,1
C001247,15,6,5
C001248,3,0,1
C001249,8,10,3
C001250,0,7,1
C001251,10,0,2
C001252,8,16,5
C001253,4,6,4
C001254,0,16,3
C001255,11,0,3
C001256,8,0,2
C001257,0,4,1
C001258,8,18,6
C001259,5,20,6
C001260,3,13,6
C001261,8,8,2
C001262,0,1,1
C001263,0,17,3
C001264,7,9,5
C001265,6,0,1
C001266,7,8,4
C001267,3,7,2
C001268,1,7,2
C001269,5,0,1
C001270,14,9,4
C001271,8,2,3
C001272,0,6,2
C001273,0,31,6
C001274,2,0,1
C001275,13,5,4
C001276,13,0,3
C001277,2,8,2
C001278,0,3,1
C001279,21,9,6
C001280,0,14,3
C001281,6,0,1
C001282,11,0,3
C001283,5,5,2
C001284,33,0,6
C001285,15,6,3
C001286,10,11,5
C001287,4,20,5
C001288,16,16,5
C001289,7,20,5
C001290,19,0,4
C001291,12,1,3
C001292,6,5,2
C001293,4,2,3
C001294,6,0,2
C001295,16,0,2
C001296,4,15,5
C001297,10,9,5
C001298,3,23,6
C001299,6,4,2
C001300,5,8,4
C001301,8,9,4
C001302,7,7,4
C001303,0,8,1
C001304,0,7,2
C001305,0,8,1
C001306,5,1,3
C001307,13,1,3
C001308,14,10,5
C001309,5,2,3
C001310,8,0,2
C001311,7,24,6
C001312,2,21,5
C001313,14,8,5
C001314,11,8,4
C001315,7,0,1
C001316,14,7,4
C001317,4,24,6
C001318,0,34,6
C001319,4,27,6
C001320,4,0,1
C001321,5,8,3
C001322,11,7,4
C001323,10,1,4
C001324,6,0,2
C001325,18,0,5
C001326,7,0,1
C001327,0,7,1
C001328,4,10,3
C001329,11,15,5
C001330,18,5,6
C001331,9,12,5
C001332,3,9,3
C001333,2,7,3
C001334,16,4,3
C001335,19,18,6
C001336,24,6,6
C001337,6,12,3
C001338,20,0,4
C001339,11,8,4
C001340,0,5,1
C001341,4,14,4
C001342,0,38,6
C001343,0,4,1
C001344,0,8,1
C001345,6,8,2
C001346,4,12,3
C001347,4,20,6
C001348,8,14,3
C001349,25,6,6
C001350,19,0,4
C001351,19,10,6
C001352,8,22,6
C001353,2,5,2
C001354,6,12,5
C001355,0,5,3
C001356,0,6,3
C001357,15,10,4
C001358,6,0,1
C001359,6,14,6
C001360,0,11,2
C001361,11,5,3
C001362,15,13,6
C001363,3,12,4
C001364,16,0,3
C001365,14,0,2
C001366,12,17,5
C001367,8,0,2
C001368,6,12,5
C001369,0,5,1
C001370,0,2,2
C001371,11,14,5
C001372,5,14,5
C001373,1,3,2
C001374,0,3,1
C001375,0,4,2
C001376,3,10,5
C001377,14,6,4
C001378,11,8,5
C001379,9,4,3
C001380,20,13,6
C001381,2,11,4
C001382,0,19,3
C001383,6,8,4
C001384,21,5,5
C001385,0,8,1
C001386,7,15,4
C001387,13,8,5
C001388,21,7,6
C001389,13,4,5
C001390,13,9,6
C001391,5,9,3
C001392,7,12,4
C001393,2,5,2
C001394,12,0,3
C001395,0,4,1
